id-enccre,headword,text,coordinates,meridian,coordinates_txt,gpt_preds
v1-1165-0,ALEXANDRETTE,"*​ ALEXANDRETTE (Géog.)​ ville de Syrie en Asie, à l’extrémité de la mer méditerranée, à l’embouchure d’un petit ruisseau appellé Belum ou Soldrat, sur le golfe d’Ajazze. Lat. 36d. 35′. 10″. long. 54, Voyez Alep.","[['36 35\' 10"" N 54 E']]",,"36 35' 10"" N 54 E","36 35' 10"" N 54 E"
v1-1166-0,ALEXANDRIE ou SCANDERIA,"*​ ALEXANDRIE ou SCANDERIA, ville d’Egypte, à l’une des embouchures occidentales du Nil, près de la mer Méditerranée. Long. 47d. 56′. 30″. lat. 31d. 11′. 30″.


Il y a en Pologne une petite ville de ce nom. Voyez Alexandrow.","[['31 11\' 30"" N 47 56\' 30"" E']]",,"31 11' 30"" N 47 56' 30"" E","31 11' 30"" N 47 56' 30"" E"
v1-1167-0,ALEXANDRIE DE LA PAILLE,"*​ ALEXANDRIE DE LA PAILLE, ville d’Italie dans l’Alexandrin, au Duché de Milan, sur le Tanaro. Long. 26. 15. lat. 44. 53.","[[""44 53' N 26 15' E""]]",,44 53' N 26 15' E,44 53' N 26 15' E
v1-1189-0,ALGER,"*​ ALGER, Royaume d’Afrique dans la Barbarie, borné à l’est, par le Royaume de Tunis, au nord, par la Mediterranée, à l’occident, par les Royaumes de Maroc & de Tafilet, & terminé en pointe vers le midi. Long. 16. 26. lat. 34. 37.","[[""34 37' N 16 26' E""]]",,34 37' N 16 26' E,34 37' N 16 26' E
v1-1207-0,ALICANTE,"*​ ALICANTE, ville d’Espagne, au Royaume de Valence, & sur le territoire de Cégura. Elle est sur là Méditerranée & dans la baie de ce nom. Long. 17. 40. lat. 38. 14.","[[""38 14' N 17 40' E""]]",,38 14' N 17 40' E,38 14' N 17 40' E
v1-128-0,"ABINGDON, ou ABINGTON, ou ABINDON","*​ ABINGDON, ou ABINGTON, ou ABINDON,​ville d’Angleterre en Barkshire, & sur la Tamise. Long. 16. 20. lat. 51. 40.","[[""51 40' N 16 20' E""]]",,51 40' N 16 20' E,51 40' N 16 20' E
v1-1304-0,ALMEDA,"*​ ALMEDA, ville de Portugal dans l’Estramadoure, sur le Tage, à l’opposite de Lisbonne. Long. 9. lat. 38. 42.","[[""38 42' N 9 E""]]",,38 42' N 9 E,38 42' N 9 O
v1-1306-0,ALMEIDE,"*​ ALMEIDE, ville frontiere de Portugal, dans la province de Tra-los-montes, sur les confins du royaume de Léon. Long. 11. 20. lat. 40. 51.","[[""40 51' N 11 20' E""]]",,40 51' N 11 20' E,40 51' N 11 20' E
v1-1364-0,"ALTDORF, ou ALTORF","*​ ALTDORF, ou ALTORF, bourg de Suisse, chef-lieu du canton d’Uri, au-dessous du lac des quatre Cantons, où la Russ se jette dans ce lac. Long. 26. 10. lat. 46. 55.","[[""46 55' N 26 10' E""]]",,46 55' N 26 10' E,46 55' N 26 10' E
v1-1367-0,"ALTENA, ou ALTENAW","*​ ALTENA, ou ALTENAW, ville d’Allemagne, dans la basse Saxe, sur la rive septentrionale de l’Elbe. Long. 27. 25. lat. 54.","[[""54 N 27 25' E""]]",,54 N 27 25' E,54 N 27 25' E
v1-1412-0,AMADABAD,"*​ AMADABAD, grande ville d’Asie, capitale du Royaume de Guzurate, aux Indes orientales, dans l’Empire du Mogol. Long. 90. 15. lat. 23.


Son commerce est d’étoffes de soie, de coton, pures ou mêlées de l’une & de l’autre, comme tulbandes, allégias, attelasses, baffetas & chilses, brocards de draps d’or & d’argent, damas, satins, taffetas, velours, alcatifs d’or, d’argent, de soie, & de laine ; toiles de coton, blanches ou peintes, qui se font dans cette ville même, & qu’on transporte à Surate, à Cambaye, & à Boritschia. Le pays a de l’indigo, du sucre, des confitures, du cumin, du miel, de la laque, de l’opium, du borax, du gingembre, des mirobolans, du salpetre, du sel ammoniac, de l’ambre-gris, du musc, des diamans ; ces trois dernieres marchandises sont d’importation. C’est d’Amadabad ou Amadabath, que viennent toutes les toiles bleues qui passent en Perse, en Arabie, en Abyssinie, à la mer Rouge, à la côte de Mélinde, à Mosambique, à Madagascar, à Java, à Sumatra, à Macassar, aux Moluques.


Boritschia ou Brotchia, ville du Royaume de Gu-​sarate, à 12 lieues de Surate, a aussi des manufactures de toiles de coton. On en fait aussi à Bisantagar, à Pettan, à Brodera, à Goga, à Chin, Pour, Nariaath, Vasset, &c.","[[""23 N 90 15' E""]]",,23 N 90 15' E,23 N 90 15' E
v1-1475-0,AMATRICE,"*​ AMATRICE, ville d’Italie au Royaume de Naples dans l’Abruzze ultérieure. Long. 31. 5. lat. 42. 53.","[[""42 53' N 31 5' E""]]",,42 53' N 31 5' E,42 53' N 31 5' E
v1-1497-0,AMBERT,"*​ AMBERT, ville de France dans la basse-Auvergne, chef-lieu du Livradois. Long. 21. 28. latit. 45. 28.","[[""45 28' N 21 28' E""]]",,45 28' N 21 28' E,45 28' N 21 28' E
v1-1593-0,AMID,"*​ AMID, ville de Turquie dans la Natolie. Lon. 54. 20. lat. 40. 30.","[[""40 30' N 54 20' E""]]",,40 30' N 54 20' E,40 30' N 54 20' E
v1-1705-0,AMRAS,"*​ AMRAS, château fort en Allemagne, dans le Tirol. Lon. 29. 10. lat. 47.","[[""47 N 29 10' E""]]",,47 N 29 10' E,47 N 29 10' E
v1-179-0,"ABRAMBOÉ, ABRAMBAN","*​ ABRAMBOÉ, ABRAMBAN, Ville & Pays sur la côte d’Or d’Afrique & la riviere de Volte. Long. 18. lat. 7.",[['7 N 18 E']],,7 N 18 E,7 N 18 O
v1-1865-3,"Ancre, ou Encre","*​ Ancre, ou Encre, (Géog. mod.)​ petite ville de France en Picardie, sur une petite riviere de même nom. Long. 20. 15. lat. 49. 59.","[[""49 59' N 20 15' E""]]",,49 59' N 20 15' E,49 59' N 20 15' E
v1-1888-0,ANDEOL (Saint),"*​ ANDEOL (Saint), Géog. mod.​ petite ville de France dans le Vivarès. Long. 22-20. lat. 44-24.","[[""44 24' N 22 20' E""]]",,44 24' N 22 20' E,44 24' N 22 20' E
v1-1906-2,André (Saint),"*​ André (Saint), Géog. mod.​ ville d’Ecosse, capitale de la province de Fise sur la côte orientale de la mer Britannique. Long. 15. 15. lat. 36. 30.","[[""36 30' N 15 15' E""]]",,36 30' N 15 15' E,36 30' N 15 15' E
v1-2008-0,ANI,"*​ ANI, (Géog mod.)​ ville d’Arménie, dans le cinquieme climat. Long. 79. lat. sept. 41",[['41 N 79 E']],,41 N 79 E,41 N 79 E
v1-2088-0,ANSPACH ou OHNSPACH,"*​ ANSPACH ou OHNSPACH, (Géog. mod.)​ ville & château d’Allemagne dans la Franconie, capitale de la souveraineté d’Anspach, sur la riviere de même nom. Long. 28. lat. 49. 14.","[[""49 14' N 28 E""]]",,49 14' N 28 E,49 14' N 28 E
v1-2238-0,ANTIVARI,"*​ ANTIVARI, (Géog. mod.)​ ville de la Dalmatie, dans la Turquie Européenne, sur le golfe de Venise, à l’opposite de Bari, dans la Pouille. Long. 36. 45. lat 42.","[[""42 N 36 45' E""]]",,42 N 36 45' E,42 N 36 45' E
v1-2258-0,ANVERS,"*​ ANVERS (Géog. mod.)​ ville des Pays-bas, au duché de Brabant, sur l’Escaut. Long. 21. 50. lat. 51. 12.","[[""51 12' N 21 50' E""]]",,51 12' N 21 50' E,51 12' N 21 50' E
v1-2264-0,ANZERMA ou SAINTE-ANNE D'ANZERMA,"ANZERMA ou SAINTE-ANNE D’ANZERMA, petite ville de l’Amérique méridionale, au royaume de Popayan, sur le fleuve Cauca, près du cap Corrente, dans la province d’Anzerma. Long. 30. 5. lat. 4.","[[""4 N 30 5' E""]]",,4 N 30 5' E,4 S 30 5' O
v1-2276-0,"AOUSTE, ou AOSTE","*​ AOUSTE, ou AOSTE, (Géog.)​ ville ancienne d’Italie au Piémont, capitale du val-d’Aouste, au pié des Alpes. Lon. 25. 3. lat. 45. 38.","[[""45 38' N 25 3' E""]]",,45 38' N 25 3' E,45 38' N 25 3' E
v1-246-0,ACANES,"*​ ACANES, s. m. pl. Il y a le grand & le petit Acane. Ces deux villes sont situées sur la côte d’or de Guinée. Long. 17. 40. lat. 8. 30.","[[""8 30' N 17 40' E""]]",,8 30' N 17 40' E,8 30' N 17 40' O
v1-2531-0,AQUA-NEGRA,"AQUA-NEGRA, petite place d’Italie, dans le Mantoüan, sur la Chiese, un peu au-delà de la jonction de cette riviere avec l’Oglio. L. 27. 55. lat. 45. 10.","[[""45 10' N 27 55' E""]]",,45 10' N 27 55' E,45 10' N 27 55' E
v1-254-0,ACARA ou ACARAI,"*​ ACARA ou ACARAI, s. Place de l’Amérique méridionale dans le Paraguai, bâtie par les Jésuites en 1624. Long. 26. 55. lat. mérid. 26.


Les Anglois, les Hollandois, & les Danois, sont établis à Acara, ce qui les rend maîtres de la traite des Negres & de l’or. Celle de l’or y étoit jadis considérable ; celle des Negres y étoit encore bonne ; les Marchands Maures du petit Acara sont entendus : ils achetent en gros, & détaillent ensuite. La traite de Lampy & de Juda est considérable pour l’achat des Negres. En 1706 & 1707, les vaisseaux de l’Assiente en eurent plus de deux cens cinquante pour six fusils, cinq pieces de perpétuanes, un baril de poudre de cent livres, six pieces d’Indienne, & cinq de tapsels ; ce qui, valeur d’Europe, ne faisoit pas quarante-cinq à cinquante livres pour chaque Negre. Les Negres à Juda étoient plus chers. On voit par une comparaison des marchandises avec une certaine quantité de Negres obtenue en échange, qu’on portoit là des fusils, des pieces de perpetuanes, de tapsels, des bassins de cuivre, des bougis, des chapeaux, du crystal de roche, de l’eau-de-vie, du fer, de la poudre, des couteaux, des pierres-à-fusil, du tabac, & que le Negre revenoit à quatre-vingts-huit ou quatre-vingts-dix livres, valeur réelle de cette marchandise.","[[""26 S 26 55' E""]]",,26 S 26 55' E,26 S 26 55' O
v1-2590-0,ARAMONT,"*​ ARAMONT, (Géog.)​ petite ville de France dans le Languedoc, diocese d’Uzès sur le Rhone. Long. 22. 22. lat. 43. 54.","[[""43 54' N 22 22' E""]]",,43 54' N 22 22' E,43 54' N 22 22' E
v1-2593-0,ARANDA DE DUERO,"*​ ARANDA DE DUERO, s. f. (Geog.)​ ville d’Espagne dans la vieille Castille sur le Duero. Long. 14. 33. lat. 41. 40. Il y a aussi une Aranda au royaume d’Aragon.","[[""41 40' N 14 33' E""]]",,41 40' N 14 33' E,41 40' N 14 33' E
v1-260-0,ACARO,"*​ ACARO, s. contrée & village du Royaume d’Acambou, sur la côte de Guinée en Afrique. Long. 18. lat. 5. 40.","[[""5 40' N 18 E""]]",,5 40' N 18 E,5 40' N 18 E
v1-2614-0,ARAVA,"*​ ARAVA, (Géog.)​ forteresse de la haute Hongrie, dans le comté & sur la riviere de même nom. Long. 37. 30. lat. 49. 20.","[[""49 20' N 37 30' E""]]",,49 20' N 37 30' E,49 20' N 37 30' E
v1-2616-0,ARAW,"*​ ARAW, (Géog.)​ ville de Suisse dans l’Argow, sur l’Aar. Long. 25. 30. lat. 47. 25.","[[""47 25' N 25 30' E""]]",,47 25' N 25 30' E,47 25' N 25 30' E
v1-2732-0,ARCIS-SUR-AUBE,"*​ ARCIS-SUR-AUBE, (Géog.)​ ville de France en Champagne sur l’Aube. Long. 21. 45. lat. 48. 30.","[[""48 30' N 21 45' E""]]",,48 30' N 21 45' E,48 30' N 21 45' E
v1-2738-0,ARCO,"*​ ARCO, (Géog.)​ ville d’Italie dans le Trentin, proche la riviere Sarca, un peu au nord de l’extrémité septentrionale du lac de Garde. Long. 28. 25. latit. 45. 52.","[[""45 52' N 28 25' E""]]",,45 52' N 28 25' E,45 52' N 28 25' E
v1-2755-0,ARDEBIL,"*​ ARDEBIL, (Géog.)​ ville d’Asie, dans la Perse, dans l’Adirbeizan. Long. 65. lat. 37. 55.","[[""37 55' N 65 E""]]",,37 55' N 65 E,37 55' N 65 E
v1-2758-0,ARDENBOURG,"*​ ARDENBOURG, ville des Pays-Bas, dans la Flandre Hollandoise. Long. 21. lat. 51. 16.","[[""51 16' N 21 E""]]",,51 16' N 21 E,51 16' N 21 E
v1-2829-0,ARGENTON,"*​ ARGENTON, (Géog.)​ ville & contrée de France, dans le duché de Berri, divisée en deux par​ la Creuse ; l’une de ces parties est appellée la hauteville, & l’autre la ville-basse. Lon. 19. 10. lat. 40. 30.","[[""40 30' N 19 10' E""]]",,40 30' N 19 10' E,40 30' N 19 10' E
v1-2866-0,ARICA,"ARICA, port & ville de l’Amérique méridionale. Long. 317. 15. lat. mérid. 18. 26.


Le commerce d’Arica est considérable ; les magasins sont pendant quinze jours le dépôt de toutes les richesses du Potosi. Les marchandises qui passent de Lima & des autres ports du Pérou à Arica, sont des draps & des serges ; Quito y envoye ses lainages ; les étoffes riches y viennent d’Espagne par les galions ; il y passe aussi de Quito du froment, de la farine, du mays, de l’acicoca, des huiles, des olives, du sel, du beurre, du fromage, du sucre, du mercure, des sirops, des confitures, &c. des quincailleries, des outils, des ustenciles de ménage, &c. Ces dernieres marchandises viennent d’Europe à Quito.","[[""18 26' S 317 15' E""]]",,18 26' S 317 15' E,18 26' S 317 15' O
v1-2919-0,ARMENTIERES,"*​ ARMENTIERES, (Géog.)​ ville des Pays-bas dans le comté de Flandre, au territoire d’Ypres, capitale du quartier de la Wepe sur la Lys. Lon. 20. 27. lat. 50. 40.","[[""50 40' N 20 27' E""]]",,50 40' N 20 27' E,50 40' N 20 27' E
v1-2931-0,ARMIRO,"*​ ARMIRO, (Géog.)​ ville de la Turquie Européenne, dans la Macédoine, sur le golfe de Vole, & les côtés de l’Archipel, vis-à-vis l’ile de Négrepont. Long. 41. 10. lat. 38. 34.


Il y a encore en Candie, une riviere de ce nom ; elle coule près le Castel-Malvesi, & se décharge dans la Méditerranée, près de Paleo-Castro. On dit que c’est l’Oaxès des Anciens.


On croit que l’Armiro, montagne de Portugal, aux confins de l’Alentéjo, près Portalegre, est l’Herminius, ou Eminius mons des anciens.","[[""38 34' N 41 10' E""]]",,38 34' N 41 10' E,38 34' N 41 10' E
v1-3165-0,ASCHAFFENBOURG,"*​ ASCHAFFENBOURG, ville d’Allemagne dans la Franconie, aux frontieres du bas Rhin, sur la rive droite du Mein, & le penchant d’une colonie. Long. 26. 35. lat. 50.","[[""50 N 26 35' E""]]",,50 N 26 35' E,50 N 26 35' E
v1-3211-0,ASOLA,"*​ ASOLA, ville d’Italie, dans la Lombardie, au Bressen, dans l’état de la république de Venise. Long. 27. 48. lat. 45. 15.","[[""45 15' N 27 48' E""]]",,45 15' N 27 48' E,45 15' N 27 48' E
v1-3298-0,ASSISE,"ASSISE, ville d’Italie, dans l’état de l’Eglise, au duché de Spolette : on y remarque l’église de saint François, qui est à trois étages. Long. 30, 12. lat. 43, 4.","[[""43 4' N 30 12' E""]]",,43 4' N 30 12' E,43 4' N 30 12' E
v1-3440-0,"ATOCK, ou ATTOCK","*​ ATOCK, ou ATTOCK, capitale de la province de même nom, au Mogol en Asie, au confluent du Nilao & de l’Inde. Lon. 90. 40. lat. 32. 20.","[[""32 20' N 90 40' E""]]",,32 20' N 90 40' E,32 20' N 90 40' E
v1-3537-0,AUBAGNE,"*​ AUBAGNE, (Géog.)​ ville de France, en Provence, sur la Veaune. Long. 23, 22. lat. 43. 17.","[[""43 17' N 23 22' E""]]",,43 17' N 23 22' E,43 17' N 23 22' E
v1-3544-0,AUBENTON,"*​ AUBENTON, (Géog.)​ ville de France en Picardie, dans la Thiérache, sur l’Aube. Lon. 21. 55. lat. 43. 51.","[[""43 51' N 21 55' E""]]",,43 51' N 21 55' E,43 51' N 21 55' E
v1-3553-0,AUBIGNY,"*​ AUBIGNY (Géog.)​ ville de France dans le Berry, sur la Nerre. Long. 20. 6. 7. lat. 47. 29. 15.","[['47 29\' 15"" N 20 6\' 7"" E']]",,"47 29' 15"" N 20 6' 7"" E","47 29' 15"" N 20 6' 7"" E"
v1-3563-0,AUÇAGUREL,"AUÇAGUREL (Géog.)​ ville d’Afrique, capitale du royaume d’Adel, sur une montagne. Long. 61. 55. lat. 9. 10.","[[""9 10' N 61 55' E""]]",,9 10' N 61 55' E,9 10' N 61 55' E
v1-3616-0,AUGIAN,"*​ AUGIAN, (Géog.)​ ville de la province d’Adherbigian. Long. 82. 10. lat. septentrionale 37. 8.","[[""37 8' N 82 10' E""]]",,37 8' N 82 10' E,37 8' N 82 10' E
v1-3630-2,Augustin (Saint),"*​Augustin, (Saint) Géog.​ fort de l’Amérique septentrionale, sur la côte orientale de la Floride, à l’extrémité d’une langue de terre. Long. 298. 30. lat. 30.","[[""30 N 298 30' E""]]",,30 N 298 30' E,30 N 298 30' O
v1-3666-0,AUMALE ou ALBEMARLE,"*​ AUMALE ou ALBEMARLE, (Géog.)​ ville de France dans la haute Normandie, au pays de Caux. Long. 19. 20. lat. 49. 50.","[[""49 50' N 19 20' E""]]",,49 50' N 19 20' E,49 50' N 19 20' E
v1-369-0,ACERNO ou ACIERNO,"*​ ACERNO ou ACIERNO, s. ville d’Italie dans le Royaume de Naples. Long. 31. 58. lat. 40. 55.","[[""40 55' N 31 58' E""]]",,40 55' N 31 58' E,40 55' N 31 58' E
v1-3709-0,AURICK,"*​ AURICK, (Géog.)​ ville d’Allemagne dans l’Oostfrise, ou Frise orientale, au cercle de Westphalie. Long. 25. lat. 53. 28.","[[""53 28' N 25 E""]]",,53 28' N 25 E,53 28' N 25 E
v1-3770-0,AUXERRE,"*​ AUXERRE (Géographie.)​ ville de France, au duché de Bourgogne, capitale d’un pays appellé de son nom l’Auxerrois, sur l’Yonne. Long. 21. 14. 20. lat. 47. 54.","[['47 54\' N 21 14\' 20"" E']]",,"47 54' N 21 14' 20"" E","47 54' N 21 14' 20"" E"
v1-3800-0,AY,"*​ AY, (Géog.)​ petite ville de France, en Champagne, près de la Marne. Long. 21. 45. lat. 49. 4.","[[""49 4' N 21 45' E""]]",,49 4' N 21 45' E,49 4' N 21 45' E
v1-3801-0,AYAMONTE,"*​ AYAMONTE, (Géog.)​ petite ville maritime d’Espagne, dans l’Andalousie, sur le côté oriental de l’embouchuré de la Guadiana. Long. 10. 35. lat. 37. 9.","[[""37 9' N 10 35' E""]]",,37 9' N 10 35' E,37 9' N 10 35' O
v1-3820-0,AZAMOR,"*​ AZAMOR, (Géog.)​ petite ville maritime d’Afrique, au royaume de Maroc, dans la province de Duquela. Long. 10. 30. lat. 32. 50.","[[""32 50' N 10 30' E""]]",,32 50' N 10 30' E,32 50' N 10 30' E
v1-3845-0,AZO ou AZOO,"*​ AZO ou AZOO (Géograph.)​ ville d’Asie, aux Indes, sur les frontieres du royaume d’Azem, & la riviere Laquia. Long. 107. lat. 25.",[['25 N 107 E']],,25 N 107 E,25 N 107 E
v1-3847-0,AZOF,"*​ AZOF (Géographie.)​ ville de la Turquie Asiatique, dans la petite Tartarie, à l’embouchure du Don. Long, 58. lat. 47. 18.","[[""47 18' N 58 E""]]",,47 18' N 58 E,47 18' N 58 E
v1-51-0,ABARANER,"*​ ABARANER, s. petite Ville dans la grande Arménie. Long. 64. lat. 39. 50.","[[""39 50' N 64 E""]]",,39 50' N 64 E,39 50' N 64 E
v1-524-0,"ADAM'S PIC en Anglois, ou Pic d'Adam en François","*​ ADAM’S PIC en Anglois, ou Pic d’Adam en François, la plus haute montagne de Ceylan dans l'Isleà vingt lieues de Colombo. Elle a deux lieues de hauteur, & à son sommet une plaine de deux cens pas de diametre. Long. 98. 25. lat. 5. 55.","[[""5 55' N 98 25' E""]]",,5 55' N 98 25' E,5 55' N 98 25' E
v1-547-0,ADEN,"*​ ADEN, (Géogr.)​ ville de l’Arabie heureuse, capitale du Royaume de ce nom. C’est un port de mer, dans une presqu’isle de la côte méridionale, vis-à-vis du cap de Guardafui. Lon. 63. 20. lat. 13. C’est aussi une montagne dans le Royaume de Fez.","[[""13 N 63 20' E""]]",,13 N 63 20' E,13 N 63 20' E
v1-700-0,AERSCHOT,"*​ AERSCHOT, (Géog. mod.)​ ville des Pays-Bas dans le Duché de Brabant sur la riviere de Demere. Long. 26. 10. lat. 51. 4.","[[""51 4' N 26 10' E""]]",,51 4' N 26 10' E,51 4' N 26 10' E
v1-787-0,AGEN,"*​ AGEN, (Géog.)​ ancienne ville de France, capitale de l’Agénois, dans la Guienne, sur la rive droite de la Garonne. Long. 18. 15. 49. lat. 44. 12. 7.","[['44 12\' 7"" N 18 15\' 49"" E']]",,"44 12' 7"" N 18 15' 49"" E","44 12' 7"" N 18 15' 49"" E"
v1-823-0,AGMAT ou AGMET,"*​ AGMAT ou AGMET, (Géog.)​ ville d’Afri-​que, au Royaume de Maroc, dans la province & sur la riviere de même nom. Long. 11. 20. lat. 30. 35.","[[""30 35' N 11 20' E""]]",,30 35' N 11 20' E,30 35' N 11 20' E
v1-826-0,AGNANIE ou ANAGNI,"*​ AGNANIE ou ANAGNI, (Géog.)​ ville d’Italie dans la campagne de Rome. Long. 30-41. lat. 41-45.","[[""41 45' N 30 41' E""]]",,41 45' N 30 41' E,41 45' N 30 41' E
v1-889-0,AGUATULCO ou AQUATULCO ou GUATULCO,"*​ AGUATULCO ou AQUATULCO ou GUATULCO, ville & port de la nouvelle Espagne, en Amérique, sur la mer du Sud. Longit. 279. latit. 25. 10.","[[""25 10' N 279 E""]]",,25 10' N 279 E,25 10' N 279 O
v1-914-0,AICHSTAT,"AICHSTAT, (Géog.)​ ville d’Allemagne dans la Franconie, sur la riviere Altmul. Long. 28. 45. lat. 49.","[[""49 N 28 45' E""]]",,49 N 28 45' E,49 N 28 45' E
v1-981-9,Air ou Ayr,"*​ Air ou Ayr, (Géog.)​ ville d’Ecosse à l’embou-​chure de la riviere de son nom. Long. 14. 40. lat. 56. 22.","[[""56 22' N 14 40' E""]]",,56 22' N 14 40' E,56 22' N 14 40' O
v10-1015-0,MEPPEN,"MEPPEN, (Géog.)​ petite ville d’Allemagne, au cercle de Westphalie, dépendant de l’évêché de Munster. Elle est sur l’Ems, à 6 lieues N. de Lingen, 20 N. O. de Munster. Long. 25. 3. lat. 52. 45. (D. J.)​","[[""52 45' N 25 3' E""]]",,52 45' N 25 3' E,52 45' N 25 3' E
v10-1043-0,MERIDA,"MERIDA, (Géog.)​ par les Latins, Emerita Augusta, ancienne, petite & forte ville d’Espagne, dans la nouvelle Castille. Auguste la bâtit & y éta-​blit une colonie romaine, l’an de Rome 726. Il orna sa nouvelle ville d’un pont de pierre sur la Guadiana, qui fut emporté en 1610, de deux aqueducs, & il acheva un chemin qu’on avoit commencé de cette place à Cadix. On a des médailles qui prouvent tous ces faits. Vespasien y fit aussi de belles réparations.


Sous les Goths, Mérida tenoit le premier rang dans l’état & dans l’Église ; car elle étoit la capitale de la Lusitanie, & la métropole des évêchés d’alentour. Les Maures en ont été les maîtres pendant 520 ans ; elle leur fut enlevée en 1230.


Elle est située dans une vaste campagne, fertile en vins, en pâturages, en fruits admirables, & surtout en grains, à 14 lieues espagnoles E. d’Elvas, 10 S. E. d’Alcantara, 40. S. O. de Madrid. Long. 12. 15. lat. 38. 45. (D. J.)​","[[""38 45' N 12 15' E""]]",,38 45' N 12 15' E,38 45' N 12 15' O
v10-1061-0,MERLOU autrefois Mello,"MERLOU, (Géog.)​ autrefois Mello, petite baronnie de France en Picardie, au diocese de Beauvais ; elle a donné le nom à l’illustre maison de Mello, & appartient présentement à celle de Luxembourg. Long. 20. latit. 49. 10. (D. J.)​","[[""49 10' N 20 E""]]",,49 10' N 20 E,49 10' N 20 E
v10-1077-0,MERTOLA autrefois Myrtilis,"MERTOLA, (Géog.)​ autrefois Myrtilis ; ancienne petite ville de Portugal dans l’Alentéjo. Elle est forte par sa situation, & devoit être opulente du tems des Romains, si l’on en juge par des monumens d’antiquités, comme colonnes & statues qu’on y a déterrées. Cette ville fut prise sur les Maures par dom Sanche en 1239. Elle est auprès de la Guadiana, dans l’endroit où cette riviere commence à porter bateau, à 24 lieues S. d’Evora, 40 de Lisbonne. Long. 10. 20. lat. 37. 30. (D. J.)​","[[""37 30' N 10 20' E""]]",,37 30' N 10 20' E,37 30' N 10 20' O
v10-1115-0,MESSA,"MESSA, (Géog.)​ on l’appelloit autrefois Temese, ancienne ville d’Afrique au royaume de Maroc, dans la province de Sus, au pié de l’atlas proche de l’océan, dans un terrein abondant en palmiers, à 16 lieues O. de Sus. Long. 8. 40. latit. 29. 20. (D. J.)​","[[""29 20' N 8 40' E""]]",,29 20' N 8 40' E,29 20' N 8 40' O
