id-enccre,headword,text,coordinates,meridian,coordinates_txt,gpt_preds
v1-1368-2,"Altenbourg, ou Oldenbourg","Altenbourg, ou Oldenbourg, ville d’Allemagne, dans le duché d’Holstein. Long. 28. 50. lat. 54. 20.","[[""54 20' N 28 50' E""]]",,54 20' N 28 50' E,54 20' N 28 50' E
v1-1385-0,ALTORF,"*​ ALTORF, ville d’Allemagne, dans le cercle de Franconie, au territoire de Nuremberg. Long. 28. 57. lat. 49. 25.","[[""49 25' N 28 57' E""]]",,49 25' N 28 57' E,49 25' N 28 57' E
v1-1387-0,ALTZEY,"*​ ALTZEY, ville d’Allemagne, dans le bas Palatinat, capitale du territoire de même nom. Long. 25. lat. 49. 44.","[[""49 44' N 25 E""]]",,49 44' N 25 E,49 44' N 25 E
v1-1392-0,ALVE DE TORMES,"*​ ALVE DE TORMES, ville d’Espagne, au Royaume de Léon, dans le territoire de Salamanque, sur la rive septentrionale de la riviere de Tormes. Long. 12. lat. 41.",[['41 N 12 E']],,41 N 12 E,41 N 12 E
v1-144-0,ABO,"*​ ABO, grande ville maritime de Suede, capitale des Duché & Province de Finlande méridionale. Lon. 41. lat. 61.",[['61 N 41 E']],,61 N 41 E,61 N 41 E
v1-1461-0,AMASIE,"*​ AMASIE, ville de Turquie dans la Natolie, capitale d’une contrée à laquelle elle donne son nom, près de la riviere de Casalmach. Long. 53. 40. lat. 39. 53.","[[""39 53' N 53 40' E""]]",,39 53' N 53 40' E,39 53' N 53 40' E
v1-1515-0,AMBLETEUSE,"*​ AMBLETEUSE, ville maritime de France dans la Picardie. Lon. 19. 20. lat. 50. 50.","[[""50 50' N 19 20' E""]]",,50 50' N 19 20' E,50 50' N 19 20' E
v1-1651-3,Amour (Saint-),"Amour (Saint-) ville de France, dans la Franche-Comté. Long. 22. 58. Lat. 46. 30.","[[""46 30' N 22 58' E""]]",,46 30' N 22 58' E,46 30' N 22 58' E
v1-169-0,"ABOUTIGE, ABUTICH, ABOUHEBE","ABOUTIGE, ABUTICH, ABOUHEBE, lieu de la haute Égypte proche le Nil. Long. 26. lat. 50.",[['50 N 26 E']],,50 N 26 E,50 N 26 E
v1-1703-0,Ampurias,"*​ Ampurias, ville & port d’Espagne dans la Catalogne. Long. 20. 40. lat 42.","[[""42 N 20 40' E""]]",,42 N 20 40' E,42 N 20 40' E
v1-1729-0,ANA,"*​ ANA, ville d’Asie, dans l’Arabie deserte, sur l’Euphrate. Long. 60. 20. lat. 33. 25.","[[""33 25' N 60 20' E""]]",,33 25' N 60 20' E,33 25' N 60 20' E
v1-1770-0,ANAGARSKAIE,"*​ ANAGARSKAIE, (Géog. mod.)​ ville des Moscovites de la grande Tartarie, dans la province de Dauria, à l’orient du lac Baycal, aux sources de la riviere d’Amur. Long. 118. lat. septentrionale 58. Wits, Carte de Tartar.",[['58 N 118 E']],,58 N 118 E,58 N 118 E
v1-1887-0,ANDELY,"*​ ANDELY, (Géog. mod.)​ petite ville de France dans la Normandie, coupée en deux par un chemin pavé : l’une des parties de ce lieu s’appelle le grand Andely ; & l’autre, le petit Andely. Celui-ci est sur la Seine ; l’autre sur le ruisseau de Gambon. Long. 19. lat. 49-20. C’est la patrie du fameux Poussin, si célebre dans l’Ecole de Peinture françoise.","[[""49 20' N 19 E""]]",,49 20' N 19 E,49 20' N 19 E
v1-1900-0,ANDOVER,"*​ ANDOVER, (Géog. mod.)​ ville d’Angleterre dans le Southampton. Long. 16-15. lat. 51-10.","[[""51 10' N 16 15' E""]]",,51 10' N 16 15' E,51 10' N 16 15' E
v1-1906-4,André (Port Saint),"*​ André (Port saint), Géog. mod.​ Espagne, frontiere de Biscaye sur une péninsule. Long. 13. 25. lat. 43. 25.","[[""43 25' N 13 25' E""]]",,43 25' N 13 25' E,43 25' N 13 25' E
v1-1962-0,ANGERS,"*​ ANGERS (Géog. mod.)​ ville de France, capitale du duché d’Anjou, un peu au-dessus de l’endroit où la Loire & la Sarte entrent dans la Mayenne. Long. 17d. 6′. 8″. lat. 47d. 28′. 8″.","[['47 28\' 8"" N 17 6\' 8"" E']]",,"47 28' 8"" N 17 6' 8"" E","47 28' 8"" N 17 6' 8"" E"
v1-1972-0,ANGLESEY,"* ANGLESEY, (Géog. mod.) île de la grande Bretagne, annexe de la Province de Galles, dans la mer d'Irlande, presque vis-à-vis Dublin. Long. 12-13. lat. 53-54.","[['53 N 12 E', '54 N 13 E']]",,"53 N 12 E', '54 N 13 E",53 54' N 12 13' O
v1-2054-0,ANNOT,"*​ ANNOT, (Géog. mod.)​ petite ville de France, dans les montagnes de Provence. Long. 24. 30. lat. 44. 4.","[[""44 4' N 24 30' E""]]",,44 4' N 24 30' E,44 4' N 24 30' E
v1-2080-3,Anse,"*​ Anse, (Géog. mod.)​ ancienne ville de France dans le Lyonnois. Long. 22. 20. lat. 45. 55.","[[""45 55' N 22 20' E""]]",,45 55' N 22 20' E,45 55' N 22 20' E
v1-2087-0,ANSLO ou CHRISTIANIA,"*​ ANSLO ou CHRISTIANIA, (Géog. mod.)​ ville de Norwege, dans la préfecture d’Aggerhus, sur la baie d’Anslo. Long. 27. 34. lat. 59. 24.","[[""59 24' N 27 34' E""]]",,59 24' N 27 34' E,59 24' N 27 34' E
v1-2158-0,ANTIBES,"*​ ANTIBES, (Géog. mod.)​ ancienne ville maritime de France, dans la Provence, à l’opposite de Nice, sur la Méditerranée. Long. 24d. 48′. 33″. lat. 43d. 34′. 50″.","[['43 34\' 50"" N 24 48\' 33"" E']]",,"43 34' 50"" N 24 48' 33"" E","43 34' 50"" N 24 48' 33"" E"
v1-2250-0,ANTRAIN,"*​ ANTRAIN, (Géog. mod.)​ ville de France, dans la haute Bretagne, sur la riviere de Coësnon. Long. 16. 4. lat. 48. 22.","[[""48 22' N 16 4' E""]]",,48 22' N 16 4' E,48 22' N 16 4' E
v1-2296-0,APENRADE ou APENRODE,"*​ APENRADE ou APENRODE, (Géog. mod.)​ petite ville de Danemarck, dans la préfecture de même nom & le duché de Sleswick, au fond d’un golfe de la mer Baltique. Long. 27. 1. lat. 55. 4.","[[""55 4' N 27 1' E""]]",,55 4' N 27 1' E,55 4' N 27 1' E
v1-23-0,ABACH,"*​ ABACH, s. petite ville d’Allemagne dans la basse Baviere, que quelques Auteurs donnent pour le château d’Abaude. Long. 29. 40. lat. 48. 52.","[[""48 52' N 29 40' E""]]",,48 52' N 29 40' E,48 52' N 29 40' E
v1-2314-0,APHIOM-KARAHISSART,"*​ APHIOM-KARAHISSART, (Géog. mod.)​ ville de la Natolie dans la Turquie Asiatique. Long. 48. 30. lat. 38. 25.","[[""38 25' N 48 30' E""]]",,38 25' N 48 30' E,38 25' N 48 30' E
v1-2447-0,APPENSEL,"*​ APPENSEL (Géog. mod.)​ petite ville ou gros bourg de Suisse, dans le canton d’Appensel, le treizieme & dernier des cantons. Longitude 27. 6. latitude 47. 31.","[[""47 31' N 27 6' E""]]",,47 31' N 27 6' E,47 31' N 27 6' E
v1-253-0,ACAPULCO,"*​ ACAPULCO, s. m. ville & Port de l’Amérique dans le Mexique sur la mer du Sud, Long. 276. lat. 17.​


Le commerce se fait d’Acapulco au Pérou, aux Isles Philippines, & sur les côtes les plus proches du Mexique. Les Marchands d’Acapulco envoient leurs marchandises à Réalajo, à la Trinité, à Vatulco, & autres petits havres, pour en tirer des vivres & des rafraîchissemens. Il leur vient cependant du côté de la terre des fromages, du chocolat, de la farine, des chairs salées, & des bestiaux. Il va tous les ans d’Acapulco à Lima un vaisseau, ce qui ne suffit pas pour lui donner la réputation de commerce qu’a cette ville ; elle ne lui vient cependant que de deux seuls vaisseaux appellés hourques, qu’elle envoie aux Philippines & à l’Orient. Leur charge au départ d’Acapulco est composée, partie de marchandises d’Europe, qui viennent au Mexique par la Vera-cruz, & partie de marchandises de la nouvelle Espagne. La cargaison au retour est composée de tout ce que la Chine, les Indes & l’Orient, produisent de plus précieux, perles, pierreries, & or en poudre. Les habitans d’Acapulco font aussi quelque négoce d’oranges, de limons, & d’autres fruits que leur sol ne porte pas.",[['17 N 276 E']],,17 N 276 E,17 N 276 O
v1-2597-0,ARANJUEZ,"*​ ARANJUEZ, (Géog.)​ maison de plaisance du roi d’Espagne sur le Tage dans la nouvelle Castille. Long. 14. 30. lat. 40.","[[""40 N 14 30' E""]]",,40 N 14 30' E,40 N 14 30' E
v1-2609-0,ARASSI,"*​ ARASSI, (Géog.)​ ville maritime d’Italie, dans l’état de Genes. Long. 25. 50. lat. 44. 3.","[[""44 3' N 25 50' E""]]",,44 3' N 25 50' E,44 3' N 25 50' E
v1-2642-0,ARBON,"*​ ARBON (Géog. anc. & mod.)​ ville de Suisse, sur le bord méridional du lac de Constance, dans le Turgow. Long. 27. 30. lat. 47. 38.","[[""47 38' N 27 30' E""]]",,47 38' N 27 30' E,47 38' N 27 30' E
v1-2654-6,Arc en Barrois,"*​ Arc en Barrois, (Géog.)​ petite ville de France en Bourgogne, sur la riviere d’Anjou. Long. 22. 37. lat. 47. 55.","[[""47 55' N 22 37' E""]]",,47 55' N 22 37' E,47 55' N 22 37' E
v1-2662-0,ARCALU (Principauté d'),"*​ ARCALU (Principauté d’) petit état des Tartares-Monguls, sur la riviere d’Hoamko, où commence la grande muraille de la Chine, sous le 122e degré de longitude & le 42e de latitude septentrionale.",[['42 N 122 E']],,42 N 122 E,42 N 122 E
v1-2673-0,ARCHANGEL,"*​ ARCHANGEL, (Géog.)​ ville de la Russie septentrionale, capitale de la province de Dowina sur la Dowina. Long. 57. 20. lat. 54. 26.


Le commerce d’Archangel comprend celui d’une partie de la Moscovie. Les Anglois & les Hollandois s’en sont presqu’entierement emparés. Cependant les François, les Suédois, les Danois & ceux de Hambourg & de Breme, ont des correspondans à Archangel.


La foire s’ouvre le 20 Août & dure dix jours : mais le commerce peut commencer une quinzaine plûtôt. Il se fait ou en échange, & c’est le plus ordinaire, ou partie en échange & partie au comptant, ou tout au comptant. Il faut y envoyer de France les vins de Bordeaux & d’Anjou ; des toiles, des futaines, des drap, des lainages, des rubans, des chapeaux, quelques riches étoffes, des bagues, des bijoux, des ustenciles de ménage, des outils d’artisans, du papier, des épices, &c. on en tire des pelleteries, des cuirs, des cires, des martes, &c.","[[""54 26' N 57 20' E""]]",,54 26' N 57 20' E,54 26' N 57 20' E
v1-2752-0,ARDACH,"*​ ARDACH, (Géog.)​ ville épiscopale d’Irlande, au comté de Longfort. Long. 9. 48. lat. 53. 37.","[[""53 37' N 9 48' E""]]",,53 37' N 9 48' E,53 37' N 9 48' E
v1-2766-0,ARDFEARD ou ARTFEART,"*​ ARDFEARD ou ARTFEART, ville d’Irlande au comté de Kerry, près de la mer à l’occident. Long. 7. 53. lat. 52. 14.","[[""52 14' N 7 53' E""]]",,52 14' N 7 53' E,52 14' N 7 53' O
v1-2779-0,ARENSBERG,"*​ ARENSBERG, (Géog.)​ ville d’Allemagne dans le cercle de Westphalie, sur la Roer. Lon. 25. 50. lat. 51. 25.","[[""51 25' N 25 50' E""]]",,51 25' N 25 50' E,51 25' N 25 50' E
v1-2815-0,ARGENCES,"*​ ARGENCES, (Géog.)​ bourg de France en basse Normandie sur la Méance. Lon. 17. 20. lat. 49. 15.","[[""49 15' N 17 20' E""]]",,49 15' N 17 20' E,49 15' N 17 20' E
v1-2820-0,ARGENTAN,"*​ ARGENTAN (Géog.)​ ville de France, dans la basse Normandie, au diocese de Séez, sur les bords de l’Orne. Long. 17. 35. lat. 48. 54.","[[""48 54' N 17 35' E""]]",,48 54' N 17 35' E,48 54' N 17 35' E
v1-2825-0,ARGENTIERE (l'),"*​ ARGENTIERE, (l’) petite ville de France, en Languedoc, dans le Vivarais. Long. 21. 55. lat. 44. 30.","[[""44 30' N 21 55' E""]]",,44 30' N 21 55' E,44 30' N 21 55' E
v1-2854-0,ARGUN,"*​ ARGUN, (Géog.)​ ville de Russie, sur la riviere de même nom, dans la Tartarie orientale, frontiere de l’empire Russien & de l’empire Chinois. Long. 136. 20. lat. 49. 30.","[[""49 30' N 136 20' E""]]",,49 30' N 136 20' E,49 30' N 136 20' E
v1-2865-0,ARIANO,"*​ ARIANO, (Géog.)​ ville d’Italie au royaume de Naples dans la principauté ultérieure. Long. 32. 49. lat. 41. 8.","[[""41 8' N 32 49' E""]]",,41 8' N 32 49' E,41 8' N 32 49' E
v1-2900-0,ARLON,"*​ ARLON, ancienne ville des Pays-Bas, autrefois considérable & peuplée, dans le comté de Chini, annexe du duché de Luxembourg. Long 23. 20. lat. 49. 45.","[[""49 45' N 23 20' E""]]",,49 45' N 23 20' E,49 45' N 23 20' E
v1-2921-0,ARMIERES,"*​ ARMIERES, (Géog.)​ petite ville du Hainaut, sur la Sambre. Long. 25. 3. lat. 52. 4.","[[""52 4' N 25 3' E""]]",,52 4' N 25 3' E,52 4' N 25 3' E
v1-2966-0,ARONCHES,"*​ ARONCHES, petite ville de Portugal, dans l’Alentéjo, sur les confins de l’Estramadure Espagnole ; elle est sur la riviere de Care, qui coule proche l’Alegrette, & joint la Guadiana, un peu au-dessus de Badajoz. Long. 11. 14. lat. 39.","[[""39 N 11 14' E""]]",,39 N 11 14' E,39 N 11 14' O
v1-3018-0,ARRAN ou ARREN,"*​ ARRAN ou ARREN, (Géog.)​ île considérable d’Ecosse, & l’une des Hébrides ; sa plus haute montagne est Capra. Long. 12. lat. 56.",[['56 N 12 E']],,56 N 12 E,56 N 12 E
v1-3063-0,ARROJO DE SAINT-SERRAN,"*​ ARROJO DE SAINT-SERRAN, petite ville d’Espagne dans l’Estramadure. Longit. 12. 10. latit. 38. 40.","[[""38 40' N 12 10' E""]]",,38 40' N 12 10' E,38 40' N 12 10' E
v1-3141-0,ARZILE,"*​ ARZILE, (Geog.)​ ville d’Afrique dans le royaume de Fez. Long. 12. 10. lat. 35. 30.","[[""35 30' N 12 10' E""]]",,35 30' N 12 10' E,35 30' N 12 10' O
v1-3176-0,ASCHTIKHAN,"*​ ASCHTIKHAN, ville de la province de Transoxane, dans la Sogde. Long. 88. lat. sept. 39. 55.","[[""39 55' N 88 E""]]",,39 55' N 88 E,39 55' N 88 E
v1-3184-0,ASCOLI,"*​ ASCOLI, ville d’Italie, dans l’état de l’Eglise, & la Marche d’Ancone, sur une montagne, au bas de laquelle coule le Fronto. Long. 31. 23. lat. 42. 47.","[[""42 47' N 31 23' E""]]",,42 47' N 31 23' E,42 47' N 31 23' E
v1-3184-1,Ascoli de Satriano,"Ascoli de Satriano, ville d’Italie, au royaume de Naples. Long. 33. 15. lat. 41. 8.","[[""41 8' N 33 15' E""]]",,41 8' N 33 15' E,41 8' N 33 15' E
v1-3256-0,ASSANCHIF,"*​ ASSANCHIF, ville d’Asie dans le Diarbeck, sur le Tigre. Long. 58. 20. lat. 36. 40.","[[""36 40' N 58 20' E""]]",,36 40' N 58 20' E,36 40' N 58 20' E
v1-3307-0,ASSOMPTION Isle de l',"*​ ASSOMPTION (Isle de l’) île de l’Amérique​septentrionale dans le golfe de S. Laurent, & l’embouchûre du grand fleuve de même nom. Long. 316. lat. 49. 30.","[[""49 30' N 316 E""]]",,49 30' N 316 E,49 30' N 316 O
v1-3307-1,Assomption,"Assomption, ville de l’Amérique méridionale, dans le Paraguai propre, sur la riviere de Paraguai. Long. 323. 40. lat. mérid. 25. 30.","[[""25 30' S 323 40' E""]]",,25 30' S 323 40' E,25 30' S 323 40' E
v1-3337-0,ASTERABAT ou ASTRABAT,"*​ ASTERABAT ou ASTRABAT, ville d’Asie dans la Perse, au pays, sur la riviere, & proche le golfe de même nom, vers la mer Caspienne. Long. 72. 5. lat. 36. 50.","[[""36 50' N 72 5' E""]]",,36 50' N 72 5' E,36 50' N 72 5' E
v1-3543-0,AUBENAS,"*​ AUBENAS, (Géog.)​ ville de France en Languedoc, dans le bas Vivarais, sur la riviere d’Ardesche, au pié des Cevennes. Long. 22. 2. lat. 44. 40.","[[""44 40' N 22 2' E""]]",,44 40' N 22 2' E,44 40' N 22 2' E
v1-3555-1,Aubin du Cormier (Saint-),Aubin du Cormier (Saint-) ville de France en Bretagne. Long. 16. 15. lat. 48. 15.,"[[""48 15' N 16 15' E""]]",,48 15' N 16 15' E,48 15' N 16 15' E
v1-3575-0,AVEIRO,"*​ AVEIRO (Géographie.)​ ville de Portugal, sur l’étang de Vouga. Long. 9. 30. lat. 40. 30.","[[""40 30' N 9 30' E""]]",,40 30' N 9 30' E,40 30' N 9 30' E
v1-3635-0,AVIGNON,"*​ AVIGNON, capitale de l’état de même nom, enclavé dans la France, mais dependant du Pape ; la ville est sur le Rhone. Long. 22. 28. 33. lat. 43. 57. 25.","[['43 57\' 25"" N 22 28\' 33"" E']]",,"43 57' 25"" N 22 28' 33"" E","43 57' 25"" N 22 28' 33"" E"
v1-3638-0,AVILES,"*​ AVILES, (Géog.)​ petite ville d’Espagne, au royaume de Léon, dans l’Asturie d’Oviedo, sur la baie de Biscaie. Long. 11. 36. lat. 43. 41.","[[""43 41' N 11 36' E""]]",,43 41' N 11 36' E,43 41' N 11 36' E
v1-3647-1,Avis,"*​ Avis, Géog.)​ ville de Portugal dans l’Alentéjo, proche la riviere du même nom. Long. 10. 30. lat. 38. 40.","[[""38 40' N 10 30' E""]]",,38 40' N 10 30' E,38 40' N 10 30' O
v1-3664-0,AULPS,"*​ AULPS, (Géog.)​ ville de France en Provence, au diocese de Fréjus. Long. 24. 5. lat. 43. 40.","[[""43 40' N 24 5' E""]]",,43 40' N 24 5' E,43 40' N 24 5' E
v1-3698-0,AURAY,"*​ AURAY, ville & port de France dans la basse Bretagne & le golfe Morbian. Long. 47. 44. latit. 14. 40. 8.","[['14 40\' 8"" N 47 44\' E']]",,"14 40' 8"" N 47 44' E","14 40' 8"" N 47 44' E"
v1-3699-0,AVRANCHES,"*​ AVRANCHES, (Géog.)​ ville de France en basse Normandie, dans la contrée appellée de son non l’Avranchise, proche la riviere de Sée. Lon. 16. 17. 22. lat. 48. 41. 8.","[['48 41\' 8"" N 16 17\' 22"" E']]",,"48 41' 8"" N 16 17' 22"" E","48 41' 8"" N 16 17' 22"" E"
v1-370-0,ACERRA,"*​ ACERRA, s. petite ville d’Italie au Royaume de Naples dans la Terre de Labour. Long. 31. 58. lat. 40. 55.","[[""40 55' N 31 58' E""]]",,40 55' N 31 58' E,40 55' N 31 58' E
v1-3768-0,AWLEN,"*​ AWLEN, petite ville d’Allemagne, dans le cercle de Souabe, sur la riviere de Kochen. Long. 28. 45. lat. 48. 52.","[[""48 52' N 28 45' E""]]",,48 52' N 28 45' E,48 52' N 28 45' E
v1-3786-0,AXEL,"*​ AXEL, (Géog.)​ petite ville des Pays-Bas, dans la Flandre Hollandoise. Long. 21. 24. lat. 51. 17.","[[""51 17' N 21 24' E""]]",,51 17' N 21 24' E,51 17' N 21 24' E
v1-3798-0,AXUME ou AXUM,"*​ AXUME ou AXUM, (Géog. anc. & mod.)​ autrefois grande ville de l’Abyssinie, aujourd’hui village. Long. 54. lat. 14. 30.","[[""14 30' N 54 E""]]",,14 30' N 54 E,14 30' N 54 E
v1-3844-0,AZMER,"*​ AZMER (Géographie.)​ ville des Indes, dans les états du Mogol, capitale de la province de même nom. On dit qu’à l’extrémité de cette province, les filles se marient à huit ou neuf ans, & ont des enfans à dix. On y ferre les bœufs. Long. 93. lat. 25. 30.","[[""25 30' N 93 E""]]",,25 30' N 93 E,25 30' N 93 E
v1-395-0,ACHEM ou ACHEN,"*​ ACHEM ou ACHEN, s. ville capitale du Royaume du même nom, dans la partie septentrionale de l’Isle de Sumatra, aux Indes orientales. Long. 113. 30. lat. 5.","[[""5 N 113 30' E""]]",,5 N 113 30' E,5 N 113 30' E
v1-459-0,ACQUA-PENDENTE,"*​ ACQUA-PENDENTE, s. ville d’Italie dans l’Etat de l’Eglise, au territoire d’Orviette, près de la Paglia. Long. 29. 28. lat. 42. 43.","[[""42 43' N 29 28' E""]]",,42 43' N 29 28' E,42 43' N 29 28' E
v1-908-0,AHUS ou AHUIS,"*​ AHUS ou AHUIS, (Geog.)​ ville maritime de Suéde, Principauté de Gothlande & terre de Bleckingie ; elle est située proche la mer Baltique. Long. 32. 14. lat. 56.","[[""56 N 32 14' E""]]",,56 N 32 14' E,56 N 32 14' E
v1-912-0,AICH,"AICH, (Géog.)​ ville d’Allemagne, dans la haute-Baviere, sur le Par. Long. 28. 50. lat. 48. 30.","[[""48 30' N 28 50' E""]]",,48 30' N 28 50' E,48 30' N 28 50' E
v1-946-0,AIGLE-PERSE,"*​ AIGLE-PERSE, (Géog.)​ ville de France, dans la basse Auvergne. Long. 20. 46. lat. 45. 50.","[[""45 50' N 20 46' E""]]",,45 50' N 20 46' E,45 50' N 20 46' E
v10-1019-9,Mer,"Mer, (Géogr.)​ petite ville de France dans le Blaisois, à une lieue de la Loire & à 4 de Blois & de Beaugency. Les Calvinistes avoient un temple dans cette ville, avant la révocation de l’édit de Nantes. Long. 18. 59. lat. 47. 35.


Jurieu (Pierre) professeur en théologie & ministre à Rotterdam, naquit à Mer en 1637, & mourut en 1713, à 76 ans. Il s’est fait connoître par des écrits pleins d’esprit, de feu, & d’imagination, par des opinions chimériques sur le rétablissement du calvinisme en France en 1689 ; & ce que je trouve de plus blamâble, il ne cessa de persécuter Bayle, qui a vécu & qui est mort en sage. (D. J.)​","[[""47 35' N 18 59' E""]]",,47 35' N 18 59' E,47 35' N 18 59' E
v10-1021-0,MÉRAN,"MÉRAN, (Géog.)​ ancienne ville d’Allemagne, dans le Tirol, capitale de l’Estchland, sur le bord de l’Adige, à 5 lieues N. O. de Bolzano. Long. 28. 28. lat. 46. 35.","[[""46 35' N 28 28' E""]]",,46 35' N 28 28' E,46 35' N 28 28' E
v10-1039-0,"MERDIN, MARDIN, MÉRÉDIN, MIRIDEN","MERDIN, (Géog.)​ les voyageurs écrivent aussi MARDIN, MEREDIN, MIRIDEN, ville d’Asie dans le Diarbeck, avec un château, qui passe pour imprenable ; le terroir produit du coton en abondance. Elle appartient aux Turcs qui y ont un pacha avec garnison. Merdin est située à 6 lieues du Tigre, entre Mosoul & Bagdat, près d’Amed. Long. selon M. Petit de la Croix, 62. 30. lat. 35. 13. (D. J.)​","[[""35 13' N 62 30' E""]]",,35 13' N 62 30' E,35 13' N 62 30' E
v10-1042-0,MEREND,"MEREND, (Géog.)​ ville de Perse, dans l’Azerbiane, dont M. Petit de la Croix met la long. à 80. 50, & la lat. à 37. 55.","[[""37 55' N 80 50' E""]]",,37 55' N 80 50' E,37 55' N 80 50' E
v10-1043-2,Mérida,"Mérida, (Géog.)​ petite ville de l’Amérique septentrionale, dans la nouvelle Espagne, capitale de la province d’Yucatan, la résidence de l’évêque & du gouverneur de cette province. Elle n’est cependant habitée que par quelques espagnols, & par des indiens, & est à 12 lieues de la mer. Longit. 289. 50. lat. 20. 10.","[[""20 10' N 289 50' E""]]",,20 10' N 289 50' E,20 10' N 289 50' O
v10-1072-0,MÉROU,"MÉROU, (Géog.)​ ville d’Asie en Perse, dans le Khorassan. Elle a produit plusieurs savans hommes ; & Jacut assure qu’il y a vû trois bibliotheques, dans l’une desquelles il y avoit quelques mille volumes manuscrits. L’agrément de sa situation, la pureté de son air, la fertilité de son terroir, & les rivieres qui l’arrosent en font un séjour délicieux. Elle est assez également éloignée de Nichapour, de Hérat, de​Balk, & de Bocara. Long. 81. lat. 37. 40.


C’est dans cette ville que mourut en 1072 Alp-Arslan, second sultan de la dynastie des Selgincides, & l’un des plus puissans monarques de l’Asie. On y lit cette épitaphe sur son tombeau : « Vous tous qui avez vû la grandeur d’Alp-Arslan élevée jusqu’aux cieux, venez la voir à Mérou ensevelie dans la poussiere ». (D. J.)​","[[""37 40' N 81 E""]]",,37 40' N 81 E,37 40' N 81 E
v10-1208-0,"METLING, ou MOTTLING","METLING, ou MOTTLING, (Géog.)​ ville forte, & château d’Allemagne dans la Carniole, sur le Kulp. Quelques géographes croient que c’est la Meclaria des anciens. Longit. 33. 35. latit. 45. 58.","[[""45 58' N 33 35' E""]]",,45 58' N 33 35' E,45 58' N 33 35' E
