id-enccre,headword,text,coordinates,meridian,coordinates_txt,gpt_preds
v1-1434-0,AMAND (Saint),"*​ AMAND (Saint), ville des Pays-Bas dans le Comté de Flandre sur la Scarpe. Long. 21. 5. 42. lat. 50. 27. 12.","[['50 27\' 12"" N 21 5\' 42"" E']]",,"50 27' 12"" N 21 5' 42"" E","50 27' 12"" N 21 5' 42"" E"
v1-1655-0,AMPASA,"*​ AMPASA, petit pays d’Afrique, sur la côte de Zanguebar, entre la ligne & le royaume de Mélinde. Long. 58. Lat. mérid. 1. 30.","[[""1 30' S 58 E""]]",,1 30' S 58 E,1 30' S 58 E
v1-1709-0,AMSTERDAM,"*​ AMSTERDAM, ville des Provinces unies, capitale de tous les Pays-bas Hollandois, de la Hollande septentrionale, & de l’Amsteland, au confluant des rivieres d’Amstel & de l’Y. Lon. 22. 39. lat. 52d22′45″.","[['52 22\' 45"" N 22 39\' E']]",,"52 22' 45"" N 22 39' E","52 22' 45"" N 22 39' E"
v1-1907-0,ANDRÉAS (Saint),"*​ ANDRÉAS (Saint), Géog. mod.​ ville d’Allemagne dans le cercle d’Autriche, duché de Carinthie, sur la riviere de Lavant. Long. 32. lat. 46. 50.","[[""46 50' N 32 E""]]",,46 50' N 32 E,46 50' N 32 E
v1-1911-0,ANDRINOPLE,"*​ ANDRINOPLE, (Géog. mod.)​ ville célebre de la Turquie en Europe dans la Romanie, sur la riviere de Marisa. Long. 44. 15. lat. 41. 45.


Amurat I. Empereur des Turcs, prit cette ville sur les Empereurs Grecs en 1362 ; & elle fut la capitale de l’Empire Ottoman jusqu’à la prise de Constantinople en 1453.","[[""41 45' N 44 15' E""]]",,41 45' N 44 15' E,41 45' N 44 15' E
v1-1922-0,ANDUXAR,"*​ ANDUXAR (Géog. mod.)​ ville d’Espagne dans l’Andalousie, sur le Guadalquivir. Long. 14. 17. Lat. 37. 45.","[[""37 45' N 14 17' E""]]",,37 45' N 14 17' E,37 45' N 14 17' E
v1-1924-0,ANDUZE,"*​ ANDUZE (Géog. mod.)​ ville de France, dans le bas Languedoc, sur le Gardon. Long. 23. 4. lat. 43. 39.​","[[""43 39' N 23 4' E""]]",,43 39' N 23 4' E,43 39' N 23 4' E
v1-1949-0,"ANGELES, (la Puebla de los)","*​ ANGELES, (la Puebla de los) (Géog. mod.)​ ville de l’Amérique septentrionale dans le Mexique. Long. 277. lat. 19-30.","[[""19 30' N 277 E""]]",,19 30' N 277 E,19 30' N 277 O
v1-1990-0,ANGRA,"*​ ANGRA, (Géog. mod.)​ ville maritime, capitale de l’île de Tercere & des autres Açores, dans l’Amérique septentrionale. Long. 356. lat. 39.",[['39 N 356 E']],,39 N 356 E,39 N 356 O
v1-2009-0,"ANIANE, ou SAINT-BENOIST D'ANIANE","*​ ANIANE, ou SAINT-BENOIST D’ANIANE, (Géog. mod.)​ petite ville de France, dans le bas-Languedoc, diocèse de Montpellier, aux piés des montagnes, près de l’Arre. Long. 21. 22. lat. 43. 45.","[[""43 45' N 21 22' E""]]",,43 45' N 21 22' E,43 45' N 21 22' E
v1-2038-0,ANNECY,"*​ ANNECY, (Géog. mod.)​ ville du duché de Savoie dans le Génevois sur la riviere de Sier, au bord du lac d’Annecy. Long. 23. 44. lat. 45. 53.","[[""45 53' N 23 44' E""]]",,45 53' N 23 44' E,45 53' N 23 44' E
v1-2049-0,ANNOBON,"*​ ANNOBON, (Géog. mod.)​ île d’Afrique sur la côte de Guinée. Long. 24. lat. méridionale. 1. 50.","[[""1 50' S 24 E""]]",,1 50' S 24 E,1 50' S 24 O
v1-2051-0,ANNONAY,"*​ ANNONAY, (Géog. mod.)​ petite ville de France dans le haut Vivarez sur la Deume. Long. 22. 22. lat. 45. 15.","[[""45 15' N 22 22' E""]]",,45 15' N 22 22' E,45 15' N 22 22' E
v1-2071-0,ANONE,"*​ ANONE, (Géog. mod.)​ fort d’Italie au duché de Milan, sur le Tanaro. Lon. 26. lat. 44. 40.","[[""44 40' N 26 E""]]",,44 40' N 26 E,44 40' N 26 E
v1-2091-0,ANSTRUTTER,"*​ ANSTRUTTER, (Géog. mod.)​ deux villes d’Ecosse, séparées par une petite riviere proche les bords de la Forth, dans la contrée de Fife. Long. 15. 10. lat. 12.","[[""12 N 15 10' E""]]",,12 N 15 10' E,12 N 15 10' O
v1-2116-0,ANTEQUERA,"*​ ANTEQUERA, (Géog. mod.)​ ville d’Espagne, au royaume de Grenade, partagée en haute & basse ville. Long. 13. 40. lat. 36. 52.","[[""36 52' N 13 40' E""]]",,36 52' N 13 40' E,36 52' N 13 40' E
v1-2247-0,ANTONIN (Saint),"*​ ANTONIN (Saint), Géog. mod.​ ville de France, dans le Rouergue, diocese de Rhodez, au bord de l’Aveirou. Long. 18. 25. lat. 44. 10.","[[""44 10' N 18 25' E""]]",,44 10' N 18 25' E,44 10' N 18 25' E
v1-226-0,ABUYO ou ABUYA,"*​ ABUYO ou ABUYA, s. une des isles Philippines aux Indes Orientales. Long. 138. lat. 10.",[['10 N 138 E']],,10 N 138 E,10 N 138 E
v1-2462-0,APPLEBY,"*​ APPLEBY, (Géog. mod.)​ ville d’Angleterre, cap. de Westmorland, sur l’Eden. Long. 14. 50. lat. 54. 40.","[[""54 40' N 14 50' E""]]",,54 40' N 14 50' E,54 40' N 14 50' E
v1-2546-0,AQUILA,"AQUILA (Géog. mod.)​ ville d’italie, au royaume de Naples, dans l’Abruzze ultérieure, sur la Pescara. Long. 31. 10. lat. 42. 20.","[[""42 20' N 31 10' E""]]",,42 20' N 31 10' E,42 20' N 31 10' E
v1-2548-0,AQUILIE,"*​ AQUILIE (Géog. anc. & mod.)​ ville d’Italie, dans le Frioul, jadis considérable. Long. 31. 5. lat. 45. 55.","[[""45 55' N 31 5' E""]]",,45 55' N 31 5' E,45 55' N 31 5' E
v1-2772-0,ARDRES,"*​ ARDRES, (Géog.)​ ville de France dans la basse Picardie, au milieu des marais. Lon. 19. 30. lat. 50. 35.","[[""50 35' N 19 30' E""]]",,50 35' N 19 30' E,50 35' N 19 30' E
v1-2776-0,AREMBERG,"*​ AREMBERG, (Géog.)​ petite ville d’Allemagne dans le cercle de Westphalie, sur la riviere d’Ahr, capitale du comté de même nom, incorporé au cercle du bas Rhin, & érigé en principauté par l’empereur Maximilien II. Lon. 24. 33. lat. 50. 27.","[[""50 27' N 24 33' E""]]",,50 27' N 24 33' E,50 27' N 24 33' E
v1-2781-0,ARENSWALDE,"*​ ARENSWALDE, (Géog.)​ ville d’Allemagne dans la nouvelle Marche de Brandebourg, sur le lac Slavin, frontiere de la Poméranie. Long. 32. 22. lat. 53. 13.","[[""53 13' N 32 22' E""]]",,53 13' N 32 22' E,53 13' N 32 22' E
v1-2819-0,ARGENTAC,"*​ ARGENTAC (Géog.)​ ville de France, dans le Limousin, sur la Dordogne. Long. 19. 33. latit. 45. 5.","[[""45 5' N 19 33' E""]]",,45 5' N 19 33' E,45 5' N 19 33' E
v1-2825-1,Argentiere (l'),"*​ Argentiere (l’) Géog.​ petite île de l’Archipel, proche celle de Milo. Elle a été ainsi nommée de ses mines d’argent auxquelles on ne travaille point. Long. 42. 40. lat. 36. 50.","[[""36 50' N 42 40' E""]]",,36 50' N 42 40' E,36 50' N 42 40' E
v1-2852-0,ARGUIN,"*​ ARGUIN, (Géog.)​ île d’Afrique, sur la côte occidentale de la Négritie. Long. 1. lat. 20. 20.","[[""20 20' N 1 E""]]",,20 20' N 1 E,20 20' N 1 O
v1-2865-1,Ariano,"*​ Ariano, (Géog.)​ bourg d’Italie dans le Ferrarois sur un bras du Pô. Il donne son nom à une petite contrée. Long. 29. 38. lat. 45.","[[""45 N 29 38' E""]]",,45 N 29 38' E,45 N 29 38' E
v1-2973-0,AROSBAY,"*​ AROSBAY, ville des Indes dans la contrée septentrionale de la côte occidentale de l’île de Madura proche celle de Java. Long. 132. lat. mérid. 9. 30.","[[""9 30' S 132 E""]]",,9 30' S 132 E,9 30' S 132 E
v1-2998-0,ARPINO,"*​ ARPINO, (Géog. anc. & mod.)​ ville d’Italie an royaume de Naples, dans la terre de Labour ; c’est l’Arpinum des Romains, & la patrie de Cicéron. Long. 31. 20. lat. 41. 45.","[[""41 45' N 31 20' E""]]",,41 45' N 31 20' E,41 45' N 31 20' E
v1-2999-0,ARQUA ou ARQVA,"*​ ARQUA ou ARQVA, ville d’Italie dans le Padouan & l’état de Venise. Long. 29. 17. lat. 45. 43.","[[""45 43' N 29 17' E""]]",,45 43' N 29 17' E,45 43' N 29 17' E
v1-3019-0,ARRAS,"*​ ARRAS, grande & forte ville des Pays-Bas, capitale du comté d’Artois. Elle est divisée en deux villes ; l’une qu’on nomme la cité, qui est l’ancienne ; & l’autre la ville, qui est la nouvelle. Elle est sur la Scarpe. Long. 20. 26. 12 : lat. 50. 17. 30.","[['50 17\' 30"" N 20 26\' 12"" E']]",,"50 17' 30"" N 20 26' 12"" E","50 17' 30"" N 20 26' 12"" E"
v1-3128-0,ARUNDEL ou ARONDEL,"*​ ARUNDEL ou ARONDEL, ville d’Angleterre, dans le Sussex, sur l’Arun. Long. 17. 5. lat. 50. 50. ​Thomas Arundel maréchal d’Angleterre, a fait apporter du Levant les marbres qu’on appelle d’Arundel, & qui sont connus de tous les savans. Ils contiennent les principales époques de l’histoire des Athéniens.","[[""50 50' N 17 5' E""]]",,50 50' N 17 5' E,50 50' N 17 5' O
v1-3161-4,Ascension isle de l',"*​ Ascension (isle de l’), dans l’Océan, entre l’Afrique & le Bresil, découverte en 1508 par Tristan d’Acugna le jour de l’Ascension. Le manque de bonne eau a empêché qu’on ne s’y établît. On l’appelle le​Bureau de la Poste. Lorsque les vaisseaux qui viennent des Indes orientales s’y rafraîchissent, ils y laissent une lettre dans une bouteille bouchée, s’ils ont quelque chose à faire savoir à ceux qui viendront après eux : ceux-ci cassent la bouteille, & laissent leur réponse dans une autre bouteille. Long. 5. lat. mér. 8.


Il y a une autre île de même nom dans l’Amérique méridionale, vis-à-vis les côtes du Brésil.",[['8 S 5 E']],,8 S 5 E,8 S 5 E
v1-3199-0,ASINARA,"*​ ASINARA, petite île d’Italie, près de la côte occidentale de la Sardaigne. Long. 26. lat. 41.",[['41 N 26 E']],,41 N 26 E,41 N 26 E
v1-3205-0,ASKER-MORKEM,"*​ ASKER-MORKEM, ville de la contrée d’Abouaz dans la Chaldée, qu’on nomme aussi l’Iraque Arabique. Cette ville s’appelle aussi Sermenraï, sur la rive orientale du Tigre. Long. 72. 20. lat. sept. 34. On dit qu’elle s’appelloit autrefois Semirah.","[[""34 N 72 20' E""]]",,34 N 72 20' E,34 N 72 20' E
v1-3273-0,ASSENSE,"*​ ASSENSE, ville maritime de Danemarck, dans l’île de Fionie. Long. 28. lat. 55. 15.","[[""55 15' N 28 E""]]",,55 15' N 28 E,55 15' N 28 E
v1-3326-0,ASTABAT,"*​ ASTABAT, ville d’Asie, dans l’Arménie. Long. 64. lat. 39.",[['39 N 64 E']],,39 N 64 E,39 N 64 E
v1-3349-0,ASTI,"*​ ASTI, ville d’Italie, dans le Montferrat, sur le Tanaro. Long. 25. 50. lat. 44. 50.","[[""44 50' N 25 50' E""]]",,44 50' N 25 50' E,44 50' N 25 50' E
v1-3403-0,ATENA,"*​ ATENA, (Géog.)​ petite ville d’Italie au royaume de Naples, proche le Negro. Lon. 33. 8. lat. 40. 28.","[[""40 28' N 33 8' E""]]",,40 28' N 33 8' E,40 28' N 33 8' E
v1-3419-0,ATHENES,"*​ ATHENES, (Géog. anc. & mod.)​ ville de Grece, célebre par son ancienneté, par les savans hommes & les grands capitaines qu’elle a produits. C’est aujourd’hui peu de chose en comparaison de ce qu’elle étoit : il y a quinze à seize mille habitans, dont le langage est un Grec corrompu ; elle appartient aux Turcs ; elle est sur le golfe d’Engia ; c’est la capitale de la Livadie. Long. 41. 55. lat. 38. 5.


On l’appelle vulgairement Setines ; il y a une citadelle ; c’étoit l’acropole des anciens : cette citadelle est entre deux éminences ; l’une étoit le Musœum, & l’autre le mont Anchesmus ; il y a quelques antiquités ; celles du château sont les mieux conservées. Ce château est sur une colline ; il renferme un temple en marbre blanc & à colonnes de porphyre & marbre noir, qu’on dit magnifique & spacieux. On voit au frontispice des figures de cavaliers armés ; dans le pourtour d’autres figures moins grandes ; des bas reliefs, &c. Au bas du château, il reste dix-sept colonnes de marbre blanc, de trois cents qui formoient anciennement le palais de Thésée : ces colonnes ont dix-huit piés de tour au moins, & sont hautes à proportion ; on lit sur une porte qui est entiere, au dehors : Cette ville d’Athenes est assûrément la ville de Thésée ; & en dedans : Cette ville d’Athenes est la ville d’Adrien, & non pas de Thésée. On voit encore le fanari, ou la lanterne de Démosthene ; on dit que c’est là que ce grand orateur s’enfermoit pour étudier son art. C’est une petite tour de marbre, environnée de six colonnes cannelées, & couverte d’un dome, au-dessus duquel il y a une lampe à trois becs en orne-​ment d’Architecture ; la frise est chargée d’un bas relief où l’on distingue quatorze groupes de deux figures chacun ; ce sont des Grecs qui combattent ou qui sacrifient. Il y a encore quelques ruines de l’aréopage, d’un temple de la Victoire, l’arsenal de Licurgue, un temple de Minerve, la tour des Vents dont Vitruve a parlé, & quelques autres monumens.","[[""38 5' N 41 55' E""]]",,38 5' N 41 55' E,38 5' N 41 55' E
v1-3579-0,AVELLINO,"*​ AVELLINO (Géographie.)​ ville d’Italie, au royaume de Naples, dans la principauté ultérieure. Long. 32. 33. lat. 40. 53.","[[""40 53' N 32 33' E""]]",,40 53' N 32 33' E,40 53' N 32 33' E
v1-3714-0,AURILLAC,"*​ AURILLAC, (Géog.)​ ville de France dans la basse Auvergne, sur la Jordane. L. 20. 3. l. 44. 55.","[[""44 55' N 20 3' E""]]",,44 55' N 20 3' E,44 55' N 20 3' E
v1-3721-0,AUSBOURG,"*​ AUSBOURG, ville d’Allemagne, capitale du cercle de Souabe, entre la Werdach & la Lech. Long. 28. 28. lat. 48 24.","[[""48 24' N 28 28' E""]]",,48 24' N 28 28' E,48 24' N 28 28' E
v1-422-0,"ACHYR, ACHIAI","*​ ACHYR, ACHIAI, s. ville & château de l’Ukraine ou Volnie intérieure sur le Vorsklo, aux Russiens. Long. 53. 34. lat. 49. 32.","[[""49 32' N 53 34' E""]]",,49 32' N 53 34' E,49 32' N 53 34' E
v1-440-0,ACOMA,"*​ ACOMA, s. ville de l’Amérique septentrionale, au nouveau Mexique ; elle est capitale de la Province. Long 169. lat. 35.",[['35 N 169 E']],,35 N 169 E,35 N 169 E
v1-647-0,ADRIA ou HADRIA,"*​ ADRIA ou HADRIA, (Géog. mod.)​ ville d’Italie qui a donné son nom au golfe Adriatique. Lon. 29. 38. lat. 45. Il y a dans l’Abruzze une autre ville du même nom.","[[""45 N 29 38' E""]]",,45 N 29 38' E,45 N 29 38' E
v1-772-0,AGADES,"*​ AGADES, (Géog.)​ Royaume & Ville de même nom, dans la Nigritie en Afrique. Long. 20. 15. lat. 19. 10.","[[""19 10' N 20 15' E""]]",,19 10' N 20 15' E,19 10' N 20 15' E
v1-783-0,AGDE,"* AGDE, (Géog.) ville de France en Languedoc, au territoire d'Agadez, differ. de long. à l'Observatoire de Paris, 1d 7'37"" à l'orient. Lat. 43-18-54. Mém. de l'Acad. 1724, pag. 89. Hist.","[['43 18\' 54"" N 1 7\' 37"" E']]",['Paris'],"43 18' 54"" N 1 7' 37"" E","43 18' 54"" N 1 7' 37"" E"
v1-857-0,AGRA,"*​ AGRA, (Géog.)​ ville capitale de l’Indostan, dans les Etats du Mogol en Asie, sur la riviere de Gemene. Long. 96. 26. lat. 26. 40.


Le Commerce s’y fait par des caravanes qui partent d’Amadabath, de Surate, & d’ailleurs, sur des chameaux dont se servent les François, les Anglois, les Hollandois, les Maures, les Turcs, les Arabes, les Persans, &c. On en tire d’excellent indigo, des étoffes, & des toiles : on dit qu’il n’y a point de confiscation pour avoir fait sortir ou entrer des marchandises en fraude, mais qu’on paye le double du droit.","[[""26 40' N 96 26' E""]]",,26 40' N 96 26' E,26 40' N 96 26' E
v1-954-4,Aiguillon,"Aiguillon, (Géog.)​ ville de France en Guyenne dans l’Agenois. Long. 18. 8. lat. 44. 25.","[[""44 25' N 18 8' E""]]",,44 25' N 18 8' E,44 25' N 18 8' E
v1-960-0,AILAH,"*​ AILAH, (Géog.)​ petite & ancienne ville d’Asie dans l’Arabie Petrée sur la mer rouge : c’est l’ancien Elath. Long. 53. 10. lat. 29. 20.","[[""29 20' N 53 10' E""]]",,29 20' N 53 10' E,29 20' N 53 10' E
v10-1001-3,Menton,"Menton, (Géog.)​ petite ville d’Italie, dans la principauté de Monaco. Elle est près de la mer, sur la côte occidentale de la riviere de Gènes, à 3 lieues de Vintimiglia, & 2 de Monaco, dont elle dépend depuis 1346, que Charles Grimaldi, gouverneur de Provence & amiral de Genes, en fit l’achat. Long. 25. 10. lat. selon le pere Laval, 43d. 44′. 43″. (D. J.)​","[['43 44\' 43"" N 25 10\' E']]",,"43 44' 43"" N 25 10' E","43 44' 43"" N 25 10' E"
v10-1018-0,MÉQUINENÇA,"MÉQUINENÇA, (Géog.)​ ancienne ville d’Espagne au royaume d’Arragon. Elle a été connue aufois sous les noms d’Octogesa & d’Ictosa. Elle est forte par sa situation, & défendue par un château. Elle est au confluent de l’Ebre & de la Ségre, dans un pays fertile & agréable, à 12 lieues N. E. de Tortose, 65 N. E. de Madrid. Long. 17. 55. lat. 41. 22. (D. J.)​","[[""41 22' N 17 55' E""]]",,41 22' N 17 55' E,41 22' N 17 55' E
v10-1043-1,Mérida,"Mérida, (Géog.)​ petite ville de l’Amérique méridionale, au nouveau royaume de Grenade, dans un terroir abondant en fruits, à 40 lieues N. E. de Pampelune. Long. 309. 17. lat. 8. 30.","[[""8 30' N 309 17' E""]]",,8 30' N 309 17' E,8 30' N 309 17' O
v10-1075-0,MERSBOURG,"MERSBOURG, (Géog.)​ en latin moderne Martinopolis ; ancienne ville d’Allemagne, dans le cercle de haute Saxe en Misnie, avec un évêché suffragant de Magdebourg, aujourd’hui sécularisé. Elle appartient à l’électeur de Saxe. Henri I. gagna près de cette ville, en 933, une fameuse bataille sur les Hongrois. Le comte de Tilly la prit en 1631, les Suédois ensuite, & depuis les Impériaux & les Saxons. Son évêché a été fondé par l’empereur Othon I. Mersbourg est sur la Sala, à 4 milles S. O. de Hall ; 8 N. O. de Leipsick ; 23 N. O. de Dresde. Long. 30. 2. lat. 51. 28. (D. J.)​","[[""51 28' N 30 2' E""]]",,51 28' N 30 2' E,51 28' N 30 2' E
v10-1090-0,MESCHED,"MESCHED, (Géog.) ville considérable de Perse, dans le Korasan, à 20 lieues de Nichapour. Elle est enceinte de plusieurs tours, & fameuse par le sépulcre d'Iman Risa, de la famille d'Aly, l'un des douze saints de Perse ; c'est dans une montagne près de Mesched, qu'on trouve les plus belles turquoises. Les tables géographiques de Nassir-Edden nomment cette vil e Thus, & la placent à 92. 30. de long. & à 37. o. de lat. (D. J.)","[[""37 0' N 92 30' E""]]",,37 0' N 92 30' E,37 N 92 30' E
